Title,Assignees,For,Start date,End date,Exceeding,Details,Finally made by
define project ideas,"Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 17, 2024","Sep 17, 2024",,,
setup dev environement,"Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 23, 2024","Sep 24, 2024",,,
"initalize project , create folder from the defined structure","Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 23, 2024","Sep 24, 2024",,,
implement database requirements (models …),"Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 23, 2024","Sep 24, 2024",2,,
"implement util classes (data formatters, procedure managment ...), and access security verification","Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 24, 2024","Sep 24, 2024",,,
"define programming pattern , security process for the front and the back end","Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 23, 2024","Sep 24, 2024",1,,
mails graphical design,siegward-from,Api requirement,"Sep 21, 2024","Sep 21, 2024",3,,
application graphical design,siegward-from,Front end,"Sep 17, 2024","Sep 20, 2024",1,,
api description and documentation,"vaprez, yahvya",General,"Sep 17, 2024","Sep 20, 2024",1,,
redact lang base file for french,siegward-from,Front end,"Sep 23, 2024",,,The file content is suposed to be defined the same day but can evolve until the end,Yahaya & Ambroise helped
define lang files format,"Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 23, 2024","Sep 23, 2024",,,
choose project name,"Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 17, 2024","Sep 17, 2024",,,
redact functional and technical specifications,"Pascal-Vigneau-Pierlovisi, siegward-from, vaprez, yahvya",General,"Sep 17, 2024","Sep 17, 2024",,,
create project logo,siegward-from,Front end,"Sep 17, 2024","Sep 19, 2024",,,
database requirements definition,yahvya,General,"Sep 17, 2024","Sep 27, 2024",,,
"initialize project, create folder from the defined structure",siegward-from,Front end,"Sep 24, 2024","Sep 24, 2024",,,
define application themes,siegward-from,Front end,"Sep 24, 2024","Sep 24, 2024",,,
define applications components,"Pascal-Vigneau-Pierlovisi, siegward-from",Front end,"Sep 24, 2024","Oct 18, 2024",,,
implement views from figma,siegward-from,Front end,"Oct 21, 2024","Nov 28, 2024",,,
implement navbar and views interractions,siegward-from,Front end,"Oct 24, 2024","Nov 28, 2024",,,
add views logic linked to the api,Pascal-Vigneau-Pierlovisi,Front end,"Oct 29, 2024","Nov 28, 2024",,,
translate the lang base file for english,siegward-from,Front end,"Nov 1, 2024","Nov 1, 2024",,,
define frameworks and application configurations,"Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 23, 2024","Sep 24, 2024",,,
implement mail templates,Pascal-Vigneau-Pierlovisi,Api,"Sep 24, 2024","Sep 25, 2024",,,
implement mail sender,yahvya,Api,"Sep 25, 2024","Sep 25, 2024",,,
implement registration,Pascal-Vigneau-Pierlovisi,Api,"Sep 25, 2024","Sep 25, 2024",,,
write registration tests,"Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 25, 2024","Sep 27, 2024",1,,
implement login,"Pascal-Vigneau-Pierlovisi, vaprez",Api,"Sep 26, 2024","Sep 27, 2024",,,
write login tests,"Pascal-Vigneau-Pierlovisi, vaprez, yahvya",Api,"Sep 26, 2024","Sep 27, 2024",1,,
implement forgot password process,yahvya,Api,"Sep 26, 2024","Sep 26, 2024",,,
write forgot password tests,"vaprez, yahvya",Api,"Sep 27, 2024","Sep 27, 2024",,,
implement user informations update + image,yahvya,Api,"Oct 1, 2024","Oct 21, 2024",,,
write user informations tests,yahvya,Api,"Oct 1, 2024","Oct 21, 2024",,,
implement user password update,vaprez,Api,"Oct 1, 2024","Oct 21, 2024",,,
write user password update tests,Pascal-Vigneau-Pierlovisi,Api,"Oct 1, 2024","Oct 21, 2024",3,,
implement google map api access,yahvya,Api,"Oct 21, 2024","Oct 22, 2024",,,
implement openweatherapi access,siegward-from,Api,"Oct 21, 2024","Oct 21, 2024",,,
"implement search ","vaprez, yahvya",Api,"Oct 22, 2024","Oct 22, 2024",,,
implement simple recommendation,yahvya,Api,"Oct 22, 2024","Nov 27, 2024",1,,
write simple recommendation tests,yahvya,Api,"Oct 23, 2024","Nov 27, 2024",1,,
implement simple travel route registration,vaprez,Api,"Sep 24, 2024","Nov 28, 2024",,,
create a test instagram account,yahvya,Api,"Nov 19, 2024","Nov 19, 2024",,Create an account and post about places and random posts,
Implement google registration,"Pascal-Vigneau-Pierlovisi, yahvya",Api,"Sep 26, 2024","Sep 27, 2024",,,